Séance,ISIN.,Val.,Ouv.,Clô.,+ haut,+ bas,CMP,Nb. Tr.,Qté,Cap.
04/02/2026,TN0007540016,NEW BODY LINE,3.83,3.83,3.83,3.73,3.81,9,903,3440.41
04/02/2026,TN0007510019,LAND OR,15.2,15.7,15.7,15.2,15.498,16,4446,68905.5
04/02/2026,TN0007400013,CARTHAGE CEMENT,1.87,1.89,1.89,1.87,1.875,35,44095,82665.31
04/02/2026,TN0007500010,AETECH,0,0,0,0,0,0,0,0
04/02/2026,TN0007720022,UMED D76/509 26716,0,0,0,0,0,0,0,0
04/02/2026,TN0006560098,STV02 3/10 010102,0,0,0,0,0,0,0,0
04/02/2026,TN0006660104,STPILDA1/56 300617,0,0,0,0,0,0,0,0
04/02/2026,TN0006660039,STPILDA0807 1/10,0,0,0,0,0,0,0,0
04/02/2026,TN0007180037,SITSDa1/9 28/03/07,0,0,0,0,0,0,0,0
04/02/2026,TN0001100312,SFBTDa1/2(11/4/02),0,0,0,0,0,0,0,0
04/02/2026,TN0007270036,Da TPR 11/149 2006,0,0,0,0,0,0,0,0
04/02/2026,TN0002200251,BTDa1/7(3/12/01),0,0,0,0,0,0,0,0
04/02/2026,TN0001900778,BHDA 1/15 28052007,0,0,0,0,0,0,0,0
04/02/2026,TN0006610141,ATTIJARI LS ROMPU,0,0,0,0,0,0,0,0
04/02/2026,TN0003600434,ATBDA1/7 09/11/05,0,0,0,0,0,0,0,0
04/02/2026,TN0007140031,ASSDa1/9(01/07/05),0,0,0,0,0,0,0,0
04/02/2026,TN0002300424,ALQDa1/12 06/09/05,0,0,0,0,0,0,0,0
04/02/2026,TN0003400272,ABDA 1/14 11122007,0,0,0,0,0,0,0,0
04/02/2026,TN0006170013,STE TUN. DU SUCRE,0,0,0,0,0,0,0,0
04/02/2026,TN0004300307,SITEX,0,0,0,0,0,0,0,0
04/02/2026,TN0007680010,BNA ASSURANCES,3.02,3,3.02,2.94,2.973,85,17882,53159.8
04/02/2026,TN0002400505,UBCI,37.1,37.1,37.1,37.1,37.1,11,4270,158417
04/02/2026,TN0004100202,TUNINVEST-SICAR,0,0,0,0,0,0,0,0
04/02/2026,TN0001400704,SPDIT - SICAF,12.9,12.97,12.97,12.8,12.817,10,3198,40988.8
04/02/2026,TN0006670012,SIPHAT,0,0,0,0,0,0,0,0
04/02/2026,TN0002500650,PLAC. TSIE-SICAF,0,0,0,0,0,0,0,0
04/02/2026,TN0003200755,ICF,79.5,77.71,81.48,76,77.331,79,2072,160228.9
04/02/2026,TN0001300557,BTE (ADP),3.89,3.89,3.89,3.89,3.89,7,2815,10950.35
04/02/2026,TN0007580012,BEST LEASE,2.26,2.26,2.26,2.26,2.26,1,100,226
04/02/2026,TN0003000452,ASTREE,0,0,0,0,0,0,0,0
04/02/2026,TN0006550016,BH ASSURANCE,0,0,0,0,0,0,0,0
04/02/2026,TN0003800703,ALKIMIA,0,0,0,0,0,0,0,0
04/02/2026,TN0002300358,AIR LIQUIDE TSIE,156.71,156.71,156.71,156.71,156.71,1,10,1567.1
04/02/2026,TN0007200017,WIFACK INT BANK,7.36,7.36,7.36,7.36,7.36,1,50,368
04/02/2026,TN0007720014,UNIMED,9.01,9.1,9.1,9.01,9.04,35,4026,36394.9
04/02/2026,TN0003900107,UIB,26.3,26.21,26.3,26.2,26.271,21,3166,83174.8
04/02/2026,TN0007690019,UADH,0.52,0.52,0.52,0.52,0.52,11,13610,7077.2
04/02/2026,TN0002100907,TUNISIE LEASING F,41,41.15,41.76,41,41.195,41,3328,137095.49
04/02/2026,TN0001200401,TUNISAIR,0.33,0.33,0.33,0.33,0.33,9,1622,535.26
04/02/2026,TN0007380017,TUNIS RE,12.9,12.9,12.9,12.9,12.9,21,13780,177762
04/02/2026,TN0007270010,TPR,13.19,13.18,13.19,12.95,13.011,151,35548,462502.53
04/02/2026,TN0007440019,TELNET HOLDING,6.45,6.4,6.45,6.4,6.407,29,5217,33426.25
04/02/2026,TN0002600955,STB,3.8,3.79,3.8,3.76,3.79,64,8800,33350.35
04/02/2026,TN0006060016,STAR,57.52,57.54,57.54,56.4,57.132,30,1270,72557.34
04/02/2026,TNNGTFLC2986,STA,62.9,60,62.9,58.91,60.727,54,1928,117081.99
04/02/2026,TN0006560015,SOTUVER,14.48,14.59,14.59,14.35,14.441,113,39100,564631.68
04/02/2026,TN0006580013,SOTUMAG,9.83,9.83,9.83,9.82,9.83,15,1223,12021.57
04/02/2026,TN0006660013,SOTRAPIL,23.33,23.33,23.33,23.29,23.33,26,2032,47406.4
04/02/2026,TN0007630015,SOTIPAPIER,2.54,2.58,2.58,2.48,2.532,22,2006,5078.48
04/02/2026,TN0006530018,SOTETEL,6.2,6.2,6.25,6.12,6.192,33,11285,69871.95
04/02/2026,TN0006780019,SOMOCER,0,0,0,0,0,0,0,0
04/02/2026,TNQPQXRODTH8,SMART TUNISIE,19.3,19.5,19.5,19.3,19.388,17,2283,44262.4
04/02/2026,TN0007180011,SITS,0,0,0,0,0,0,0,0
04/02/2026,TN0004000055,SIMPAR,0,0,0,0,0,0,0,0
04/02/2026,TN0006590012,SIAME,2.84,2.88,2.9,2.84,2.877,18,7625,21933.68
04/02/2026,TN0001100254,SFBT,13.5,13.5,13.54,13.4,13.494,143,34787,469426.71
